Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,1.38777878078145E-17,-0.04,0,0,0,0.15707963267949,0.000391062835524979,6.21980377065526E-36,-9.88120452211026E-36,0.00039106283552498,6.48862588558017E-36,0.000614574062858504,0,0,0,0,0,0,package://ASSEM 2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/base_link.STL,,base-1,coor1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00277146259382868,0.000977617047691573,-0.0392275940929765,0,0,0,0.10392584627471,8.06918285221046E-05,-2.30972045071663E-07,1.9180114960661E-06,7.3013450070366E-05,2.74033815861124E-07,0.000130206094147028,0,0,0,0,0,0,package://ASSEM 2/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link1.STL,,base top-1;Mg995-1;bracket 3-1,coor2,axis1,joint1,revolute,0,0,-0.065295,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
link2,0.0403015509937278,-0.0403015509937268,0.0815648422319146,0,0,0,0.0258099114254626,1.91418266297321E-05,4.72708625206505E-06,-5.50219404184871E-21,1.91418266297323E-05,5.27278066883589E-21,1.12484016319642E-05,0,0,0,0,0,0,package://ASSEM 2/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link2.STL,,arm4-1;arm4-2,coor3,axis2,joint2,revolute,0.014245,0.081565,-0.077949,1.5708,0,0,link1,0,0,-1,0.8357,5.235,-3.14,3.14,,,,,,,,
link3,0.0323024454898762,0.0330392074388971,0.0830187996879243,0,0,0,0.0698780273763374,3.55297243478853E-05,-1.12773149423438E-05,2.33341441598977E-07,3.59517146165329E-05,2.72019095535887E-07,2.75333599213435E-05,0,0,0,0,0,0,package://ASSEM 2/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link3.STL,,bracket 3-3;Mg995-2;arm 1-5;arm 1-6,coor4,axis3,joint3,revolute,0.0806066375213615,-0.0806066375213595,0,0,0,0,link2,0,0,-1,0.83357,5.235,-3.14,3.14,,,,,,,,
link4,0.0315375369846145,0.000942829333490151,0.0215178892714787,0,0,0,0.0770925872338047,1.83587552242031E-05,3.43021070226104E-06,4.36773633370026E-07,3.62874257481099E-05,4.19679017550082E-08,3.35923516563554E-05,0,0,0,0,0,0,package://ASSEM 2/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/link4.STL,,bracket 3-5;Mg995-4;GRIPPER 1-1;HCSR04 Ultrasonic Sensor-1;Servo-MG90S-3,coor5,axis4,joint4,revolute,0.117062359119247,0.115053071254504,0.0592138803375897,0,0,0,link3,0,0,-1,0.83357,5.235,-3.14,3.14,,,,,,,,
gripkiri,0.014682818458544,-0.000406177253536102,-0.0218916024198144,0,0,0,0.00468228410417343,2.35592289956318E-07,-2.02600157549245E-08,-1.45292461833238E-22,2.06790380943813E-06,-6.46592022391514E-24,2.29101000844998E-06,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkiri.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkiri.STL,,grip kiri-1,coor7,Axis5,gripkiri,revolute,0.084296005674642,0.0435030263892294,0.0395009618943247,-1.5707963267949,0,-0.0309604369909043,link4,0,0,-1,0.21575,10.47,-3.14,3.14,,,,,,,,
endkiri,-0.287972996648998,0.00178516586371753,-0.0217965070142749,0,0,0,0.443150595663642,0.00196078344559034,-1.30067282999552E-05,0.000876779035566921,0.00646286226177141,-8.01893940297324E-06,0.00536100266374495,0,0,0,0,0,0,package://ASSEM 2/meshes/endkiri.STL,1,1,1,1,0,0,0,0,0,0,package://ASSEM 2/meshes/endkiri.STL,,,coor9,Axis7,endkiri,fixed,0.0657309702758853,0.0155256915901593,-0.0198916024198144,0,0,0,gripkiri,0,0,0,,,,,,,,,,,,
gripkanan,0.0148063042759796,0.000414028412186004,-0.0218862224173077,0,0,0,0.00468228410417343,2.35570244923864E-07,1.9237317523319E-08,-5.70220168567931E-23,2.06792585447058E-06,-1.23541639058095E-24,2.29101000844998E-06,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkanan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ASSEM 2/meshes/gripkanan.STL,,grip kanan-1,coor6,Axis6,gripkanan,revolute,0.0841222076722561,0.0435030263892294,0.00370096189432474,-1.5707963267949,0,-0.0309604369909049,link4,0,0,-1,0.21575,10.47,-3.14,3.14,,,,,,,,
endkanan,-0.287253246196077,-0.00299979659536508,-0.043701528570305,0,0,0,0.443150595663642,0.00196078344559034,-1.30067282999552E-05,0.000876779035566919,0.00646286226177141,-8.0189394029734E-06,0.00536100266374495,0,0,0,0,0,0,package://ASSEM 2/meshes/endkanan.STL,1,1,1,1,0,0,0,0,0,0,package://ASSEM 2/meshes/endkanan.STL,,,coor8,Axis8,endkanan,fixed,0.0651849345350827,-0.0154893459507581,0.00201879913872238,0,0,0,gripkanan,0,0,0,,,,,,,,,,,,
